iter	Passed	Remaining
0	2	248
1	8	416
2	10	334
3	12	293
4	19	371
5	24	381
6	28	377
7	30	348
8	35	359
9	39	353
10	42	341
11	44	325
12	50	340
13	57	352
14	59	339
15	63	331
16	66	324
17	71	326
18	73	314
19	77	310
20	81	306
21	88	312
22	90	302
23	96	305
24	100	302
25	103	294
26	106	287
27	110	283
28	115	283
29	118	277
30	125	279
31	131	279
32	133	271
33	147	285
34	149	277
35	153	272
36	156	266
37	161	263
38	163	255
39	165	248
40	169	243
41	172	237
42	174	231
43	176	225
44	182	222
45	185	218
46	189	214
47	191	207
48	197	205
49	204	204
50	206	198
51	208	192
52	213	188
53	219	187
54	220	180
55	223	175
56	228	172
57	233	169
58	236	164
59	241	160
60	243	155
61	248	152
62	249	146
63	251	141
64	258	139
65	265	136
66	267	131
67	272	128
68	278	125
69	280	120
70	282	115
71	288	112
72	296	109
73	298	104
74	304	101
75	308	97
76	310	92
77	313	88
78	319	84
79	321	80
80	323	75
81	326	71
82	330	67
83	332	63
84	338	59
85	341	55
86	355	53
87	358	48
88	364	45
89	370	41
90	374	36
91	380	33
92	388	29
93	394	25
94	398	20
95	403	16
96	404	12
97	409	8
98	410	4
99	413	0
