iter	Passed	Remaining
0	248	248740
1	250	125244
2	252	83996
3	254	63418
4	256	51065
5	258	42860
6	266	37820
7	268	33353
8	271	29899
9	273	27093
10	280	25210
11	283	23315
12	285	21667
13	287	20242
14	290	19048
15	291	17957
16	293	16995
17	295	16137
18	297	15367
19	305	14978
20	307	14334
21	309	13748
22	311	13215
23	312	12720
24	319	12442
25	321	12049
26	325	11737
27	327	11374
28	333	11177
29	335	10842
30	336	10526
31	338	10228
32	339	9956
33	341	9695
34	342	9449
35	344	9217
36	350	9131
37	352	8918
38	353	8720
39	355	8539
40	357	8356
41	359	8202
42	361	8049
43	366	7955
44	369	7842
45	371	7709
46	383	7781
47	385	7652
48	387	7525
49	389	7402
50	391	7284
51	398	7271
52	400	7164
53	402	7054
54	404	6948
55	406	6847
56	409	6776
57	412	6693
58	414	6605
59	423	6629
60	425	6542
61	427	6463
62	429	6386
63	435	6369
64	438	6305
65	444	6288
66	446	6214
67	456	6262
68	462	6240
69	495	6583
70	503	6594
71	510	6581
72	519	6600
73	521	6530
74	523	6461
75	525	6391
76	530	6358
77	532	6300
78	536	6257
79	538	6191
80	540	6127
81	548	6145
82	549	6074
83	551	6016
84	553	5958
85	555	5903
86	569	5980
87	571	5924
88	573	5873
89	579	5858
90	581	5805
91	583	5754
92	584	5702
93	586	5652
94	588	5603
95	596	5613
96	598	5573
97	601	5532
98	603	5490
99	605	5447
100	636	5664
101	644	5671
102	646	5627
103	647	5582
104	649	5539
105	651	5498
106	659	5507
107	662	5468
108	664	5431
109	666	5395
110	669	5360
111	675	5354
112	676	5313
113	678	5275
114	699	5383
115	701	5348
116	711	5368
117	727	5435
118	729	5399
119	731	5362
120	733	5328
121	741	5335
122	743	5301
123	745	5264
124	746	5228
125	748	5193
126	749	5155
127	755	5146
128	758	5119
129	760	5089
130	763	5061
131	791	5205
132	794	5177
133	796	5145
134	802	5145
135	806	5121
136	808	5094
137	810	5063
138	813	5037
139	818	5026
140	820	4997
141	821	4964
142	829	4970
143	831	4944
144	834	4922
145	847	4957
146	849	4930
147	851	4901
148	853	4875
149	859	4871
150	861	4843
151	864	4820
152	865	4792
153	867	4764
154	869	4739
155	876	4743
156	878	4717
157	880	4691
158	882	4666
159	884	4641
160	893	4658
161	895	4634
162	897	4611
163	900	4588
164	906	4586
165	908	4565
166	910	4543
167	912	4519
168	914	4496
169	916	4473
170	922	4473
171	924	4451
172	926	4428
173	928	4406
174	938	4424
175	940	4402
176	942	4380
177	943	4358
178	945	4336
179	947	4314
180	952	4308
181	954	4289
182	956	4269
183	958	4249
184	959	4229
185	961	4208
186	963	4188
187	970	4193
188	973	4176
189	975	4160
190	992	4201
191	994	4183
192	1000	4184
193	1002	4166
194	1004	4147
195	1009	4141
196	1011	4121
197	1019	4128
198	1021	4111
199	1023	4093
200	1025	4075
201	1027	4057
202	1034	4061
203	1036	4043
204	1038	4026
205	1040	4010
206	1042	3993
207	1049	3997
208	1052	3982
209	1059	3984
210	1072	4008
211	1073	3991
212	1083	4001
213	1085	3986
214	1087	3969
215	1088	3952
216	1090	3935
217	1102	3954
218	1104	3938
219	1106	3921
220	1112	3922
221	1115	3908
222	1117	3892
223	1119	3877
224	1131	3896
225	1133	3880
226	1134	3864
227	1139	3857
228	1147	3863
229	1149	3848
230	1151	3833
231	1153	3818
232	1164	3834
233	1167	3820
234	1169	3806
235	1170	3790
236	1181	3803
237	1193	3822
238	1195	3806
239	1197	3793
240	1218	3837
241	1224	3836
242	1226	3820
243	1228	3805
244	1230	3791
245	1239	3798
246	1241	3784
247	1243	3769
248	1244	3754
249	1246	3740
250	1249	3727
251	1256	3729
252	1258	3716
253	1261	3703
254	1265	3697
255	1271	3694
256	1281	3704
257	1287	3702
258	1289	3688
259	1297	3691
260	1305	3695
261	1307	3681
262	1308	3667
263	1310	3654
264	1312	3640
265	1319	3640
266	1321	3628
267	1324	3616
268	1326	3603
269	1328	3592
270	1333	3588
271	1335	3574
272	1337	3561
273	1339	3547
274	1340	3535
275	1342	3522
276	1349	3522
277	1351	3510
278	1353	3497
279	1355	3485
280	1357	3473
281	1359	3460
282	1366	3463
283	1368	3450
284	1370	3437
285	1371	3425
286	1373	3412
287	1378	3408
288	1381	3398
289	1382	3385
290	1385	3375
291	1387	3363
292	1388	3351
293	1397	3355
294	1399	3343
295	1401	3332
296	1403	3321
297	1405	3310
298	1411	3309
299	1414	3299
300	1415	3287
301	1417	3276
302	1419	3264
303	1426	3266
304	1428	3255
305	1430	3244
306	1432	3232
307	1434	3222
308	1436	3212
309	1444	3215
310	1446	3205
311	1448	3194
312	1450	3183
313	1452	3172
314	1459	3173
315	1461	3163
316	1463	3154
317	1467	3146
